Balayage complet {b1 anchor -> meilleur b2 oppose} pour tous les b1 du pool de base (4000 candidats, t=1..100, k=+/-1..10)
N1,N2 bornes a [1,65536]. Genere le 2026-08-29 09:45:11
==============================================================================================================

--- x0 = 13.457 --- (4000 appariements b1 valides : 2000 avec sign1=+, 2000 avec sign1=-  ;  4000 avec erreur < 1e-6) ---
       err |    t1   k1  sg1 |              b1 |    t2   k2  sg2 |              b2 |      N1      N2
  3.08e-09 |    34    1    + |    -6.883453644 |    94   -4    - |    34.043778854 |    1791   17434
  3.08e-09 |    37  -10    - |    88.462422911 |    99   -3    + |    29.410569423 |     557   39534
  3.09e-09 |   100    5    - |   -47.540259424 |     9   -4    + |    38.360152144 |    2972   28433
  3.10e-09 |    30  -10    + |    92.822989145 |     2   -3    - |    25.276441279 |     548    6923
  3.10e-09 |    16    2    - |   -20.271879441 |     7   -4    + |    38.338130698 |    5958   37115
  3.10e-09 |    10    6    + |   -52.278605297 |    96   -4    - |    34.043244103 |    2955   63956
  3.11e-09 |    21    4    + |   -34.100727078 |    90   -4    - |    34.044901334 |     907   15299
  3.12e-09 |    97    8    - |   -74.733660454 |     6   -4    + |    38.323200891 |    1937   25125
  3.12e-09 |    65   10    - |   -92.851961596 |     7   -4    + |    38.338130698 |    2609   39610
  3.12e-09 |    28    2    - |   -20.302056397 |     9   -4    + |    38.360152144 |   10334   64239
  3.12e-09 |    54    5    - |   -47.522396137 |    10   -4    + |    38.368597540 |    2927   27967
  3.13e-09 |    14    4    - |   -38.392787952 |     5   -4    + |    38.304007616 |    3757   31936
  3.14e-09 |    88    3    - |   -29.407550930 |     7   -4    + |    38.338130698 |    3337   24548
  3.14e-09 |     2    5    - |   -47.241320991 |     7   -4    + |    38.338130698 |    5814   55559
  3.14e-09 |    58   10    + |   -88.446043795 |    90   -4    - |    34.044901334 |    1385   43097
  3.15e-09 |    32    4    + |   -34.080226242 |    97   -4    - |    34.042982950 |    3398   57327
  3.15e-09 |    86   -9    - |    79.369702644 |    91   -3    + |    29.408428196 |     805   48089
  3.15e-09 |   100    9    - |   -83.799140558 |     9   -4    + |    38.360152144 |    4101   57526
  3.16e-09 |    57   10    + |   -88.446611480 |    98   -4    - |    34.042725804 |    1253   39012
  3.16e-09 |    71    9    + |   -79.375072002 |    98   -4    - |    34.042725804 |    1106   31803
  3.16e-09 |    84   -8    + |    74.729910348 |     1   -3    - |    25.418200133 |    5680   52517
  3.16e-09 |    99    7    + |   -61.236633414 |    89   -4    - |    34.045193710 |    1097   26307
  3.17e-09 |     2    8    - |   -74.435481842 |     7   -4    + |    38.338130698 |    4711   60821
  3.17e-09 |     6    4    - |   -38.323200891 |     4   -4    + |    38.278039063 |    4457   37970
  3.17e-09 |    38    4    - |   -38.444738694 |     2   -4    + |    38.176600707 |    2049   17710
  3.18e-09 |    14    4    + |   -34.124974318 |    94   -4    - |    34.043778854 |    1430   24137
  3.18e-09 |    47    8    + |   -70.323809548 |    89   -4    - |    34.045193710 |    2012   53043
  3.19e-09 |    26   -9    - |    79.413396057 |    92   -3    + |    29.408711041 |     674   40313
  3.19e-09 |    46    8    - |   -74.710934464 |    10   -4    + |    38.368597540 |    2239   28874
  3.19e-09 |    84    6    + |   -52.176173623 |    92   -4    - |    34.044330945 |    1886   40757
  3.20e-09 |    21   -9    - |    79.424328497 |    95   -3    + |    29.409532618 |     451   27008
  3.20e-09 |    34    4    + |   -34.077614495 |    92   -4    - |    34.044330945 |    2790   47051
  3.20e-09 |    93    9    - |   -83.797311014 |     4   -4    + |    38.278039063 |    3096   43871
  3.20e-09 |    87   10    + |   -88.434115213 |    98   -4    - |    34.042725804 |    1383   43055
  3.21e-09 |    66   -8    - |    70.312536561 |    91   -3    + |    29.408428196 |    1037   50530
  3.22e-09 |    63    6    - |   -56.592113436 |    10   -4    + |    38.368597540 |    3318   35401
  3.23e-09 |    56  -10    - |    88.447194298 |    91   -3    + |    29.408428196 |     481   34042
  3.24e-09 |    64   10    - |   -92.851483748 |     5   -4    + |    38.304007616 |    2222   33877
  3.24e-09 |    10    3    + |   -25.084444446 |    97   -4    - |    34.042982950 |    3063   44447
  3.25e-09 |    48    3    - |   -29.388869589 |     2   -4    + |    38.176600707 |    7414   55631
  3.25e-09 |    18  -10    + |    92.796710601 |     9   -3    - |    25.092889842 |    4361   53103
  3.26e-09 |    32    8    - |   -74.696417161 |     7   -4    + |    38.338130698 |    4478   57957
  3.26e-09 |    32    7    + |   -61.274387093 |    97   -4    - |    34.042982950 |    1071   25709
  3.26e-09 |    17    4    + |   -34.112752010 |    92   -4    - |    34.044330945 |    3609   60896
  3.27e-09 |    36   10    + |   -88.463545115 |    93   -4    - |    34.044052674 |     646   20109
  3.28e-09 |    46    4    + |   -34.065708940 |    93   -4    - |    34.044052674 |    1924   32443
  3.28e-09 |    63    6    + |   -52.184529967 |    96   -4    - |    34.043244103 |    1749   37811
  3.28e-09 |    45    2    - |   -20.321806372 |     5   -4    + |    38.304007616 |    8616   53953
  3.28e-09 |    49   10    + |   -88.451761335 |    97   -4    - |    34.042982950 |    1260   39229
  3.28e-09 |    52   10    + |   -88.449691283 |   100   -4    - |    34.042223129 |    1817   56581
  3.28e-09 |    79    2    - |   -20.339905417 |     2   -4    + |    38.176600707 |    4248   27037
  3.28e-09 |    28    8    - |   -74.690378099 |     2   -4    + |    38.176600707 |    4552   60109
  3.28e-09 |    10    5    - |   -47.433317823 |     8   -4    + |    38.350172779 |    1457   13937
  3.29e-09 |    55    3    + |   -24.994750949 |    96   -4    - |    34.043244103 |    3791   54918
  3.29e-09 |    73   -9    + |    83.790703537 |     9   -3    - |    25.092889842 |    2849   29698
  3.31e-09 |    83    5    + |   -43.111777782 |    99   -4    - |    34.042472563 |    1290   24823
  3.32e-09 |    69    5    + |   -43.117036276 |    89   -4    - |    34.045193710 |    1433   27557
  3.33e-09 |    51    5    + |   -43.126759560 |    91   -4    - |    34.044613789 |    3283   63151
  3.33e-09 |    29    8    + |   -70.343520225 |    92   -4    - |    34.044330945 |    2059   54305
  3.35e-09 |    25    8    + |   -70.350597106 |    93   -4    - |    34.044052674 |    1314   34661
  3.35e-09 |     1    9    + |   -79.806521835 |   100   -4    - |    34.042223129 |    1898   54799
  3.35e-09 |    52    9    - |   -83.779994106 |     3   -4    + |    38.240062994 |    2525   35944
  3.36e-09 |    85    7    - |   -65.665508766 |     8   -4    + |    38.350172779 |    1583   18697
  3.36e-09 |    88    4    + |   -34.045491055 |    94   -4    - |    34.043778854 |    3462   58363
  3.37e-09 |    86    2    - |   -20.342220476 |     5   -4    + |    38.304007616 |    5679   35576
  3.37e-09 |    19    7    + |   -61.300425672 |    91   -4    - |    34.044613789 |    2437   58491
  3.37e-09 |    28  -10    - |    88.474587006 |    94   -3    + |    29.409263132 |     791   56065
  3.38e-09 |    34    3    + |   -25.012894212 |    92   -4    - |    34.044330945 |    4361   63178
  3.38e-09 |    12    6    - |   -56.511647118 |     2   -4    + |    38.176600707 |    2713   29618
  3.39e-09 |    11    1    + |    -6.947735869 |    98   -4    - |    34.042725804 |    3968   38703
  3.40e-09 |    94    5    - |   -47.538703699 |     7   -4    + |    38.338130698 |    3229   30975
  3.40e-09 |    15   -8    - |    70.379376305 |    99   -3    + |    29.410569423 |     887   43406
  3.40e-09 |    92    4    - |   -38.473431324 |    12   -4    + |    38.382206550 |    5803   48912
  3.40e-09 |    32   10    + |   -88.468547944 |    99   -4    - |    34.042472563 |     911   28371
  3.40e-09 |    62    6    + |   -52.185030928 |    92   -4    - |    34.044330945 |    2522   54507
  3.41e-09 |    56    6    - |   -56.588330240 |     2   -4    + |    38.176600707 |    5431   59343
  3.41e-09 |    53    4    - |   -38.457043347 |     6   -4    + |    38.323200891 |    7317   62108
  3.41e-09 |     2    4    + |   -34.341161562 |    90   -4    - |    34.044901334 |    3133   53044
  3.41e-09 |    43  -10    - |    88.456533366 |    89   -3    + |    29.407848275 |     909   64298
  3.43e-09 |    41    7    - |   -65.641892525 |     6   -4    + |    38.323200891 |    2014   23861
  3.43e-09 |    62   -7    + |    65.656332759 |     8   -3    - |    25.102869207 |    5796   40039
  3.44e-09 |    94    4    + |   -34.043778854 |    90   -4    - |    34.044901334 |    3817   64327
  3.44e-09 |    99    4    - |   -38.475289706 |     6   -4    + |    38.323200891 |     993    8431
  3.44e-09 |    75  -10    - |    88.438204048 |    98   -3    + |    29.410316182 |     602   42697
  3.44e-09 |    55   -7    - |    61.253632084 |    91   -3    + |    29.408428196 |    1550   58457
  3.44e-09 |    94  -10    - |    88.432100556 |    95   -3    + |    29.409532618 |     901   63836
  3.45e-09 |    99    5    - |   -47.540009990 |     9   -4    + |    38.360152144 |    5110   48887
  3.45e-09 |    19    9    + |   -79.429866239 |    95   -4    - |    34.043509368 |    1898   54593
  3.45e-09 |    87    7    - |   -65.666129609 |     4   -4    + |    38.278039063 |    1652   19687
  3.45e-09 |    49    1    - |   -11.260161785 |     1   -4    + |    38.034841852 |   10781   57320
  3.45e-09 |     8   10    + |   -88.555911192 |    97   -4    - |    34.042982950 |    1629   50762
  3.46e-09 |    90   -9    - |    79.368502752 |    95   -3    + |    29.409532618 |     442   26439
  3.46e-09 |    35   10    - |   -92.829690624 |     6   -4    + |    38.323200891 |    3825   58168
  3.46e-09 |    17  -10    + |    92.793331962 |     4   -3    - |    25.175002922 |    2581   31937
  3.47e-09 |     3   10    + |   -88.666020977 |    91   -4    - |    34.044613789 |    1904   59361
  3.47e-09 |    24   -6    - |    52.223196639 |    93   -3    + |    29.408989312 |     964   25791
  3.47e-09 |    41    1    + |    -6.875869744 |   100   -4    - |    34.042223129 |    3082   30007
  3.47e-09 |    64    7    - |   -65.657322897 |     1   -4    + |    38.034841852 |    4441   54568
  3.47e-09 |    26    3    - |   -29.363247346 |     4   -4    + |    38.278039063 |    4986   36925
  3.48e-09 |    48    5    - |   -47.518310157 |     9   -4    + |    38.360152144 |    6754   64597
  3.48e-09 |    50    5    - |   -47.519753597 |     9   -4    + |    38.360152144 |    4617   44159
  3.49e-09 |    80    6    - |   -56.599135781 |     1   -4    + |    38.034841852 |    4171   46409
  3.50e-09 |    85   10    - |   -92.859669617 |     4   -4    + |    38.278039063 |    2689   41132
  3.50e-09 |    30  -10    - |    88.471416528 |    94   -3    + |    29.409263132 |     559   39619
  3.50e-09 |    53    5    - |   -47.521763630 |     7   -4    + |    38.338130698 |    5741   55060
  3.50e-09 |    79    8    - |   -74.728227119 |     6   -4    + |    38.323200891 |    4834   62699
  3.51e-09 |    23    5    - |   -47.486554848 |    10   -4    + |    38.368597540 |    6048   57761
  3.52e-09 |    36   -8    + |    74.701419991 |     9   -3    - |    25.092889842 |    5035   43578
  3.52e-09 |     5    6    - |   -56.433448183 |     4   -4    + |    38.278039063 |    3535   38071
  3.52e-09 |    90   -6    + |    56.602301502 |     1   -3    - |    25.418200133 |   11923   65331
  3.54e-09 |    63    8    - |   -74.721554004 |     3   -4    + |    38.240062994 |    1823   23889
  3.54e-09 |    34  -10    - |    88.465936197 |    95   -3    + |    29.409532618 |     856   60683
  3.54e-09 |     7    8    - |   -74.597011832 |    12   -4    + |    38.382206550 |    2565   32987
  3.55e-09 |    13    8    + |   -70.388841198 |    97   -4    - |    34.042982950 |     508   13409
  3.55e-09 |    18    5    - |   -47.473109182 |     3   -4    + |    38.240062994 |    2225   21587
  3.55e-09 |    12    6    + |   -52.264996286 |    95   -4    - |    34.043509368 |    2615   56584
  3.55e-09 |    66    5    - |   -47.528827127 |    12   -4    + |    38.382206550 |    5407   51581
  3.55e-09 |    78    7    - |   -65.663150913 |    10   -4    + |    38.368597540 |    2413   28435
  3.55e-09 |    75    2    + |   -15.920441779 |    93   -4    - |    34.044052674 |    4433   53655
  3.56e-09 |    29   10    + |   -88.472960793 |    97   -4    - |    34.042982950 |    1668   51941
  3.57e-09 |    59    7    - |   -65.654754222 |     1   -4    + |    38.034841852 |    4467   54886
  3.58e-09 |    34   10    + |   -88.465936197 |    90   -4    - |    34.044901334 |    1997   62151
  3.59e-09 |    44    8    + |   -70.326230180 |    98   -4    - |    34.042725804 |     664   17517
  3.59e-09 |    17    2    - |   -20.275569692 |     8   -4    + |    38.350172779 |    1772   11023
  3.60e-09 |    13    7    + |   -61.324120914 |    92   -4    - |    34.044330945 |     542   13013
  3.60e-09 |    82    8    - |   -74.729255547 |    11   -4    + |    38.375865549 |    2462   31727
  3.61e-09 |    31    9    + |   -79.405227270 |    92   -4    - |    34.044330945 |    1609   46260
  3.61e-09 |    33    4    - |   -38.438871564 |     2   -4    + |    38.176600707 |    3421   29566
  3.61e-09 |    25   10    + |   -88.480037673 |   100   -4    - |    34.042223129 |    1313   40897
  3.61e-09 |    11    8    - |   -74.634746684 |    11   -4    + |    38.375865549 |    1689   21746
  3.62e-09 |    51    7    - |   -65.649883844 |     7   -4    + |    38.338130698 |    4900   57951
  3.62e-09 |     4   -8    + |    74.536920198 |     5   -3    - |    25.149034370 |    3411   29738
  3.63e-09 |    16   -7    - |    61.310603112 |    94   -3    + |    29.409263132 |    1291   48828
  3.63e-09 |    41    9    - |   -83.771333093 |     8   -4    + |    38.350172779 |    4012   56333
  3.63e-09 |    66    9    - |   -83.787708261 |     9   -4    + |    38.360152144 |    3899   54687
  3.63e-09 |    71   -8    + |    74.725172821 |     3   -3    - |    25.212978992 |    4447   39431
  3.66e-09 |    85    8    + |   -70.305295488 |    98   -4    - |    34.042725804 |     940   24793
  3.66e-09 |    72    6    + |   -52.180501714 |    97   -4    - |    34.042982950 |    2990   64641
  3.66e-09 |     8   10    - |   -92.738494481 |     9   -4    + |    38.360152144 |    4237   64093
  3.67e-09 |    29    9    + |   -79.408240509 |    91   -4    - |    34.044613789 |    2211   63565
  3.68e-09 |    98   -9    + |    83.798637884 |     1   -3    - |    25.418200133 |    1597   17775
  3.68e-09 |   100   10    + |   -88.430544831 |    94   -4    - |    34.043778854 |    1958   60937
  3.68e-09 |    13   -8    - |    70.388841198 |    97   -3    + |    29.410059035 |     469   22942
  3.69e-09 |    42    5    + |   -43.133825179 |   100   -4    - |    34.042223129 |     781   15034
  3.70e-09 |    93    7    - |   -65.667870447 |    10   -4    + |    38.368597540 |    2726   32125
  3.70e-09 |    92    2    + |   -15.914890377 |    91   -4    - |    34.044613789 |    2622   31727
  3.70e-09 |    87    3    + |   -24.981073227 |    99   -4    - |    34.042472563 |    3827   55437
  3.71e-09 |    24    7    - |   -65.618167048 |     1   -4    + |    38.034841852 |    3939   48380
  3.71e-09 |    93    6    + |   -52.173493241 |    94   -4    - |    34.043778854 |    1353   29242
  3.72e-09 |   100   -8    - |    70.301104264 |   100   -3    + |    29.410818856 |     877   42846
  3.72e-09 |    44    7    + |   -61.261509897 |    94   -4    - |    34.043778854 |    1613   38706
  3.73e-09 |    97  -10    - |    88.431304652 |   100   -3    + |    29.410818856 |     655   46479
  3.74e-09 |     9   10    + |   -88.545931827 |    92   -4    - |    34.044330945 |     893   27815
  3.74e-09 |    71   10    - |   -92.854613388 |     4   -4    + |    38.278039063 |    4108   62835
  3.75e-09 |     6   10    + |   -88.582883080 |    90   -4    - |    34.044901334 |    1616   50343
  3.76e-09 |    42    4    + |   -34.069104896 |    97   -4    - |    34.042982950 |    3709   62563
  3.77e-09 |    86    8    + |   -70.304982360 |    96   -4    - |    34.043244103 |    1116   29431
  3.77e-09 |    11    7    + |   -61.336057571 |    95   -4    - |    34.043509368 |    1255   30142
  3.78e-09 |    71   10    + |   -88.439792285 |   100   -4    - |    34.042223129 |    1917   59690
  3.78e-09 |    99   -9    - |    79.366073981 |    99   -3    + |    29.410569423 |     687   41144
  3.78e-09 |    29    2    + |   -15.955198523 |    93   -4    - |    34.044052674 |    3666   44405
  3.78e-09 |    97   10    + |   -88.431304652 |    89   -4    - |    34.045193710 |    1978   61537
  3.78e-09 |   100    6    + |   -52.171663696 |    90   -4    - |    34.044901334 |    1124   24285
  3.79e-09 |    77    3    - |   -29.403906947 |     3   -4    + |    38.240062994 |    8313   61898
  3.81e-09 |    24   10    - |   -92.812327899 |     1   -4    + |    38.034841852 |     661   10422
  3.81e-09 |    78    2    - |   -20.339549495 |     4   -4    + |    38.278039063 |    5303   33326
  3.82e-09 |    61    6    - |   -56.591099250 |     6   -4    + |    38.323200891 |    1783   19130
  3.83e-09 |    29   10    - |   -92.821444881 |     9   -4    + |    38.360152144 |    1057   16000
  3.83e-09 |    68  -10    + |    92.853331360 |    10   -3    - |    25.084444446 |    1162   14139
  3.83e-09 |    74    6    - |   -56.596935529 |     7   -4    + |    38.338130698 |    5015   53711
  3.84e-09 |    34    1    - |   -11.245986923 |     1   -4    + |    38.034841852 |    7849   41717
  3.84e-09 |    89    8    + |   -70.304074845 |    89   -4    - |    34.045193710 |     712   18767
  3.84e-09 |    41   -9    - |    79.393632013 |    90   -3    + |    29.408140651 |     256   15295
  3.85e-09 |    21    9    - |   -83.740636609 |     5   -4    + |    38.304007616 |    2015   28447
  3.86e-09 |    56   10    - |   -92.847211375 |     3   -4    + |    38.240062994 |    4045   62161
  3.87e-09 |    32   -9    + |    83.761137445 |     9   -3    - |    25.092889842 |    4777   49768
  3.87e-09 |    76    2    - |   -20.338816696 |    10   -4    + |    38.368597540 |    2524   15685
  3.88e-09 |    94    1    + |    -6.849618003 |    97   -4    - |    34.042982950 |    4123   40106
  3.88e-09 |     9    5    + |   -43.222330409 |    95   -4    - |    34.043509368 |    1250   24083
  3.88e-09 |    78    4    - |   -38.468990062 |     4   -4    + |    38.278039063 |    3445   29411
  3.89e-09 |    53  -10    - |    88.449040625 |    91   -3    + |    29.408428196 |     829   58673
  3.90e-09 |    49    7    + |   -61.257600484 |    98   -4    - |    34.042725804 |    2654   63701
  3.91e-09 |    70   -8    - |    70.310769895 |    89   -3    + |    29.407848275 |    1141   55556
  3.91e-09 |    85    5    + |   -43.111134637 |    97   -4    - |    34.042982950 |    3289   63280
  3.91e-09 |    32    6    + |   -52.209666810 |    93   -4    - |    34.044052674 |    2441   52776
  3.91e-09 |    67    4    - |   -38.464563302 |     5   -4    + |    38.304007616 |    5113   43508
  3.92e-09 |    50    5    + |   -43.127449240 |    94   -4    - |    34.043778854 |    1828   35171
